Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
11-07-2024 11:28,11:28:00,CNR7871058089,success,CID221021,Mini,Hennur,Kengeri,56.0,140.0,,,no,,989,cash,4,4.0,4.2
16-07-2024 16:25,16:25:00,CNR5503358927,driver not found,CID552049,Bike,Peenya,MG Road,,,,,,,594,,0,4.2,3.993771736
12-07-2024 18:02,18:02:00,CNR2708187615,success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294.0,95.0,,,no,,443,cash,5,3.3,3.1
16-07-2024 22:35,22:35:00,CNR1625119636,success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35.0,95.0,,,no,,721,cash,19,4.7,4.7
26-07-2024 13:20,13:20:00,CNR9312632867,success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217.0,120.0,,,yes,Vehicle Breakdown,2936,cash,34,4.8,4.6
25-07-2024 03:33,03:33:00,CNR5274603340,success,CID477783,Prime SUV,Electronic City,Banashankari,77.0,35.0,,,no,,747,cash,25,5.0,3.5
17-07-2024 03:30,03:30:00,CNR1050003752,success,CID993137,Bike,Chamarajpet,Shivajinagar,308.0,110.0,,,no,,799,upi,25,3.3,4.7
07-07-2024 05:59,05:59:00,CNR3603517873,success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63.0,135.0,,,no,,300,cash,14,4.1,4.6
01-07-2024 02:21,02:21:00,CNR1557960488,driver not found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,,,,,,162,,0,3.5,3.993771736
01-07-2024 02:45,02:45:00,CNR9758857830,success,CID528642,Prime Plus,HSR Layout,Magadi Road,308.0,70.0,,,no,,618,upi,30,4.4,3.7
02-07-2024 04:17,04:17:00,CNR8080410192,success,CID416746,eBike,Jayanagar,JP Nagar,91.0,120.0,,,no,,251,upi,9,4.0,4.4
13-07-2024 02:27,02:27:00,CNR1648186942,canceled by driver,CID713303,Bike,Hennur,Padmanabhanagar,,,,More than permitted people in there,,,543,,0,4.9,3.993771736
25-07-2024 10:57,10:57:00,CNR2433490646,success,CID954071,Mini,Hennur,Chamarajpet,35.0,115.0,,,no,,724,cash,11,4.6,4.8
18-07-2024 00:37,00:37:00,CNR7825941026,success,CID234007,Mini,Marathahalli,Langford Town,196.0,80.0,,,no,,316,upi,27,3.2,4.7
22-07-2024 13:08,13:08:00,CNR9148580255,success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224.0,60.0,,,no,,138,upi,24,4.1,3.0
15-07-2024 07:21,07:21:00,CNR2946309760,success,CID984343,Prime Plus,Hosur Road,Hennur,280.0,55.0,,,no,,467,cash,24,3.3,4.2
19-07-2024 10:29,10:29:00,CNR3472489570,driver not found,CID621402,Prime SUV,Electronic City,Marathahalli,,,,,,,565,,0,4.5,3.993771736
07-07-2024 16:56,16:56:00,CNR1768885472,canceled by driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,,,More than permitted people in there,,,276,,0,4.2,3.993771736
06-07-2024 01:18,01:18:00,CNR7486448495,success,CID931462,Auto,Ulsoor,Padmanabhanagar,63.0,65.0,,,no,,296,upi,5,3.3,4.3
04-07-2024 15:32,15:32:00,CNR2735636504,driver not found,CID111173,Prime SUV,Cox Town,Chamarajpet,,,,,,,1310,,0,4.5,3.993771736
26-07-2024 17:17,17:17:00,CNR7533317866,canceled by customer,CID867762,Mini,Shantinagar,Hulimavu,,,AC is Not working,,,,771,,0,3.6,3.993771736
01-07-2024 02:55,02:55:00,CNR5758479139,success,CID805528,Prime Sedan,RT Nagar,Chickpet,42.0,25.0,,,no,,279,cash,43,3.8,3.4
22-07-2024 16:24,16:24:00,CNR8021985469,success,CID604351,Mini,Hosur Road,Kadugodi,308.0,145.0,,,no,,321,cash,39,4.7,4.7
21-07-2024 19:56,19:56:00,CNR3800597072,success,CID386103,Mini,JP Nagar,Chickpet,189.0,35.0,,,no,,457,cash,1,4.5,3.4
05-07-2024 13:55,13:55:00,CNR6179425512,success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217.0,45.0,,,no,,139,cash,45,3.5,3.8
29-07-2024 19:40,19:40:00,CNR7924302885,success,CID517661,Auto,Magadi Road,Nagarbhavi,168.0,140.0,,,yes,Customer Demand,685,upi,7,3.0,4.9
15-07-2024 21:19,21:19:00,CNR7181374756,canceled by driver,CID700952,Auto,Devanahalli,Kammanahalli,,,,More than permitted people in there,,,150,,0,3.1,3.993771736
16-07-2024 13:15,13:15:00,CNR2830899440,success,CID808607,Mini,Kadugodi,Frazer Town,133.0,90.0,,,no,,196,upi,21,4.4,3.4
14-07-2024 11:37,11:37:00,CNR7592165192,canceled by driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,,,Personal & Car related issue,,,424,,0,4.6,3.993771736
11-07-2024 21:40,21:40:00,CNR6077524333,canceled by driver,CID708519,Prime SUV,Chickpet,Shantinagar,,,,More than permitted people in there,,,827,,0,3.1,3.993771736
14-07-2024 04:15,04:15:00,CNR8854206454,success,CID932765,eBike,Langford Town,Kadugodi,301.0,115.0,,,no,,770,cash,27,3.5,4.3
17-07-2024 07:30,07:30:00,CNR6387231274,driver not found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,,,,,,325,,0,4.7,3.993771736
04-07-2024 14:43,14:43:00,CNR6215530366,success,CID713821,eBike,Devanahalli,Jayanagar,161.0,25.0,,,no,,986,cash,18,4.0,4.8
29-07-2024 14:56,14:56:00,CNR4314026109,success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266.0,115.0,,,no,,2208,cash,40,4.9,4.5
17-07-2024 19:55,19:55:00,CNR9027465661,success,CID737388,Prime Sedan,BTM Layout,Majestic,168.0,30.0,,,no,,1695,upi,20,4.4,4.7
20-07-2024 10:58,10:58:00,CNR5003494701,canceled by driver,CID761134,Mini,Sarjapur Road,Majestic,,,,Customer related issue,,,305,,0,3.9,3.993771736
08-07-2024 09:18,09:18:00,CNR2064658821,success,CID954441,Bike,Peenya,Devanahalli,63.0,105.0,,,no,,2271,cash,37,4.2,4.2
07-07-2024 01:31,01:31:00,CNR2149029235,success,CID596869,Auto,Chickpet,Hennur,154.0,135.0,,,no,,240,upi,4,4.8,4.9
30-07-2024 01:20,01:20:00,CNR9704400677,success,CID974657,Mini,Langford Town,Vijayanagar,287.0,95.0,,,no,,482,cash,37,4.8,3.9
03-07-2024 11:25,11:25:00,CNR8836460204,success,CID716037,eBike,Bellandur,Shantinagar,252.0,45.0,,,no,,536,upi,17,3.6,4.4
11-07-2024 10:44,10:44:00,CNR3697318609,success,CID915228,Bike,Sarjapur Road,Chickpet,287.0,100.0,,,no,,188,upi,37,4.0,4.1
22-07-2024 18:17,18:17:00,CNR6541289543,canceled by driver,CID656539,Prime SUV,Frazer Town,Whitefield,,,,Customer related issue,,,202,,0,3.2,3.993771736
21-07-2024 06:54,06:54:00,CNR8369601219,canceled by driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,,,Customer related issue,,,1609,,0,4.1,3.993771736
22-07-2024 00:21,00:21:00,CNR8346388703,canceled by driver,CID680143,Mini,Magadi Road,BTM Layout,,,,Personal & Car related issue,,,1821,,0,3.2,3.993771736
26-07-2024 09:39,09:39:00,CNR4445082348,success,CID336831,Mini,Yelahanka,BTM Layout,42.0,40.0,,,no,,415,upi,22,4.0,3.1
26-07-2024 06:06,06:06:00,CNR5528764313,success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308.0,145.0,,,no,,2125,upi,6,4.7,4.6
03-07-2024 15:04,15:04:00,CNR3967141568,canceled by driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,,,Customer related issue,,,758,,0,4.7,3.993771736
07-07-2024 09:55,09:55:00,CNR7054352438,driver not found,CID270321,Mini,Hennur,Cox Town,,,,,,,653,,0,4.7,3.993771736
22-07-2024 12:51,12:51:00,CNR1640228587,success,CID190281,Prime Sedan,Kengeri,Mysore Road,168.0,135.0,,,yes,Other Issue,704,cash,42,3.0,4.8
19-07-2024 04:48,04:48:00,CNR6684033796,success,CID352268,Auto,Indiranagar,Whitefield,84.0,105.0,,,no,,385,cash,19,3.8,3.7
01-07-2024 05:03,05:03:00,CNR4158584922,success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35.0,45.0,,,no,,934,upi,12,4.7,5.0
23-07-2024 04:01,04:01:00,CNR5133236273,canceled by driver,CID905849,Prime Plus,Banashankari,Chickpet,,,,Customer related issue,,,615,,0,4.7,3.993771736
26-07-2024 08:22,08:22:00,CNR5661490576,success,CID546076,Bike,Magadi Road,Electronic City,56.0,30.0,,,no,,2202,cash,44,4.9,3.4
05-07-2024 12:36,12:36:00,CNR2304446757,success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252.0,145.0,,,no,,205,cash,43,4.7,3.1
18-07-2024 07:21,07:21:00,CNR3780555542,canceled by customer,CID803813,Mini,Tumkur Road,Chamarajpet,,,Driver asked to cancel,,,,513,,0,3.8,3.993771736
21-07-2024 08:21,08:21:00,CNR1559782157,success,CID906966,Auto,Ulsoor,Bellandur,182.0,50.0,,,no,,247,cash,8,3.4,3.3
13-07-2024 02:55,02:55:00,CNR7623690602,success,CID526261,Bike,Cox Town,Malleshwaram,259.0,75.0,,,yes,Other Issue,558,upi,41,3.3,3.2
08-07-2024 07:56,07:56:00,CNR2098165198,success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217.0,55.0,,,no,,291,upi,5,5.0,3.3
22-07-2024 04:32,04:32:00,CNR5502012579,success,CID748475,Mini,Vijayanagar,Kengeri,56.0,110.0,,,no,,925,cash,22,4.5,4.0
24-07-2024 21:58,21:58:00,CNR4698965967,success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280.0,30.0,,,no,,121,cash,44,4.1,4.5
21-07-2024 03:13,03:13:00,CNR8566688320,driver not found,CID175878,Bike,Chickpet,Shivajinagar,,,,,,,404,,0,4.3,3.993771736
29-07-2024 12:44,12:44:00,CNR8014852782,canceled by customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,,Change of plans,,,,223,,0,3.1,3.993771736
15-07-2024 08:31,08:31:00,CNR6012739836,driver not found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,,,,,,2989,,0,4.6,3.993771736
01-07-2024 11:01,11:01:00,CNR3404012927,success,CID344186,Mini,Chickpet,Chamarajpet,63.0,130.0,,,no,,728,cash,14,3.5,5.0
11-07-2024 10:50,10:50:00,CNR9282027845,success,CID767941,Bike,Yeshwanthpur,KR Puram,210.0,85.0,,,no,,2416,upi,49,3.3,3.8
30-07-2024 10:02,10:02:00,CNR5508853708,canceled by customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,,Driver is not moving towards pickup location,,,,371,,0,4.3,3.993771736
07-07-2024 18:36,18:36:00,CNR4241139229,success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203.0,25.0,,,no,,258,cash,32,3.8,4.1
27-07-2024 23:48,23:48:00,CNR8306274838,driver not found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,,,,,,170,,0,3.0,3.993771736
16-07-2024 15:25,15:25:00,CNR1903850514,canceled by customer,CID126419,eBike,Mysore Road,Vijayanagar,,,Driver asked to cancel,,,,151,,0,3.6,3.993771736
26-07-2024 21:02,21:02:00,CNR1852948877,canceled by driver,CID953990,Prime Sedan,Yelahanka,Majestic,,,,Customer related issue,,,425,,0,4.9,3.993771736
04-07-2024 03:31,03:31:00,CNR5744401218,success,CID507511,Bike,Yelahanka,Varthur,91.0,25.0,,,no,,220,upi,2,3.5,3.1
16-07-2024 10:15,10:15:00,CNR7221640450,success,CID195611,Prime Sedan,RT Nagar,Whitefield,301.0,145.0,,,no,,472,upi,16,3.6,4.5
20-07-2024 22:27,22:27:00,CNR8395803905,canceled by driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,,,Customer related issue,,,616,,0,4.1,3.993771736
15-07-2024 09:20,09:20:00,CNR3750351374,success,CID524066,Prime SUV,Mysore Road,Peenya,42.0,130.0,,,no,,473,cash,49,4.6,4.2
04-07-2024 18:13,18:13:00,CNR2869164142,success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126.0,115.0,,,no,,259,cash,11,4.6,4.5
27-07-2024 11:58,11:58:00,CNR8303547069,success,CID471469,Mini,Langford Town,Richmond Town,77.0,35.0,,,no,,310,credit card,2,3.8,3.1
09-07-2024 21:32,21:32:00,CNR7368110421,canceled by driver,CID372218,Mini,Peenya,Sarjapur Road,,,,Personal & Car related issue,,,200,,0,4.8,3.993771736
30-07-2024 10:14,10:14:00,CNR7500310853,success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189.0,85.0,,,no,,471,upi,39,4.3,3.7
13-07-2024 21:23,21:23:00,CNR8925319975,success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287.0,125.0,,,no,,442,upi,37,4.5,4.5
29-07-2024 19:56,19:56:00,CNR9261561390,success,CID853883,Auto,Koramangala,Majestic,175.0,65.0,,,no,,228,cash,10,4.4,4.3
24-07-2024 09:25,09:25:00,CNR3165383119,canceled by driver,CID765484,Prime SUV,Devanahalli,KR Puram,,,,Customer was coughing/sick,,,232,,0,4.6,3.993771736
29-07-2024 23:15,23:15:00,CNR7006798592,driver not found,CID786658,Prime Sedan,Ulsoor,RT Nagar,,,,,,,344,,0,3.7,3.993771736
08-07-2024 07:52,07:52:00,CNR5613886410,success,CID107686,Auto,Marathahalli,KR Puram,266.0,65.0,,,no,,2604,upi,10,4.5,4.1
16-07-2024 04:52,04:52:00,CNR5841521780,success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210.0,120.0,,,no,,274,cash,37,4.0,3.6
09-07-2024 13:07,13:07:00,CNR1281921513,canceled by customer,CID163474,Mini,Malleshwaram,Magadi Road,,,Driver is not moving towards pickup location,,,,895,,0,4.5,3.993771736
26-07-2024 16:05,16:05:00,CNR2959980296,success,CID509309,Bike,Hosur Road,Richmond Town,91.0,60.0,,,no,,279,cash,34,4.4,3.2
26-07-2024 23:32,23:32:00,CNR6765124275,success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294.0,45.0,,,no,,1946,cash,16,3.2,3.5
05-07-2024 04:23,04:23:00,CNR9762994658,success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231.0,65.0,,,no,,1024,upi,4,3.5,4.1
23-07-2024 10:25,10:25:00,CNR8072285783,canceled by customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,,,Driver asked to cancel,,,,294,,0,3.7,3.993771736
23-07-2024 19:44,19:44:00,CNR8116331340,success,CID777382,Auto,RT Nagar,Sarjapur Road,266.0,55.0,,,no,,252,upi,8,4.2,4.8
28-07-2024 10:29,10:29:00,CNR3491700602,success,CID247449,Mini,Richmond Town,Langford Town,84.0,145.0,,,no,,2542,upi,2,4.6,4.1
19-07-2024 15:04,15:04:00,CNR2166456022,success,CID930312,Mini,Yeshwanthpur,Indiranagar,266.0,75.0,,,no,,1821,cash,34,3.1,4.7
12-07-2024 08:33,08:33:00,CNR2177201692,success,CID614111,Mini,Richmond Town,Yeshwanthpur,105.0,145.0,,,no,,200,cash,31,3.9,4.0
16-07-2024 10:22,10:22:00,CNR5755482161,canceled by driver,CID126097,Prime SUV,Koramangala,Indiranagar,,,,Customer was coughing/sick,,,152,,0,4.6,3.993771736
25-07-2024 11:15,11:15:00,CNR4484571820,success,CID645793,Auto,HSR Layout,Hosur Road,133.0,145.0,,,no,,2388,cash,4,3.5,3.6
28-07-2024 06:34,06:34:00,CNR7377461832,success,CID719814,eBike,Ulsoor,Padmanabhanagar,77.0,100.0,,,no,,783,cash,37,4.1,3.5
03-07-2024 20:56,20:56:00,CNR2363111317,driver not found,CID665310,Prime Plus,Electronic City,KR Puram,,,,,,,208,,0,4.6,3.993771736
17-07-2024 07:28,07:28:00,CNR2976802436,success,CID592039,Prime SUV,Tumkur Road,Cox Town,168.0,50.0,,,no,,1181,upi,10,3.9,4.9
01-07-2024 03:29,03:29:00,CNR8474873609,canceled by customer,CID968838,Prime Plus,HSR Layout,KR Puram,,,Change of plans,,,,843,,0,3.5,3.993771736
20-07-2024 13:53,13:53:00,CNR1945536909,success,CID796614,Auto,Sahakar Nagar,JP Nagar,224.0,80.0,,,no,,441,cash,7,3.1,3.1
10-07-2024 02:02,02:02:00,CNR8097291227,success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238.0,25.0,,,no,,332,upi,38,4.0,3.4
12-07-2024 16:22,16:22:00,CNR1433815646,success,CID307267,Prime SUV,Banashankari,Marathahalli,42.0,65.0,,,no,,832,cash,11,4.3,4.1
15-07-2024 06:58,06:58:00,CNR5876056264,success,CID568720,Prime SUV,Kadugodi,Shantinagar,231.0,30.0,,,no,,1361,upi,47,3.5,3.9
04-07-2024 21:47,21:47:00,CNR2943788515,canceled by driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,,,,More than permitted people in there,,,415,,0,3.4,3.993771736
28-07-2024 07:06,07:06:00,CNR5599931622,success,CID822709,Prime SUV,Peenya,Frazer Town,42.0,55.0,,,no,,747,cash,28,4.7,3.0
02-07-2024 01:54,01:54:00,CNR6776927575,success,CID817693,Bike,Hosur Road,Nagarbhavi,245.0,55.0,,,no,,129,cash,5,4.5,4.2
10-07-2024 18:38,18:38:00,CNR4880622143,success,CID602848,eBike,Rajajinagar,Kammanahalli,98.0,100.0,,,no,,296,upi,34,3.9,4.2
27-07-2024 03:13,03:13:00,CNR2841702950,success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231.0,105.0,,,no,,337,upi,18,3.4,4.2
09-07-2024 14:52,14:52:00,CNR2747846957,success,CID700413,Prime Sedan,Majestic,Malleshwaram,308.0,140.0,,,no,,896,upi,45,3.3,4.1
05-07-2024 09:33,09:33:00,CNR4795488474,success,CID943263,Prime Sedan,Peenya,Frazer Town,189.0,60.0,,,no,,151,credit card,11,4.9,4.8
06-07-2024 10:00,10:00:00,CNR6662649739,success,CID295666,Auto,Ramamurthy Nagar,Banashankari,189.0,35.0,,,no,,940,debit card,7,4.2,3.5
10-07-2024 09:28,09:28:00,CNR2524442918,success,CID471692,Prime Plus,Hulimavu,RT Nagar,98.0,140.0,,,no,,729,credit card,13,4.2,5.0
01-07-2024 10:12,10:12:00,CNR4977956798,success,CID782900,Auto,Banashankari,Sarjapur Road,189.0,45.0,,,no,,128,cash,1,3.6,4.8
26-07-2024 15:07,15:07:00,CNR2002215420,success,CID109502,Prime SUV,Whitefield,BTM Layout,77.0,75.0,,,no,,274,cash,42,4.8,3.4
13-07-2024 04:23,04:23:00,CNR9590311980,success,CID957268,Auto,Bannerghatta Road,Tumkur Road,105.0,25.0,,,yes,Customer Demand,352,cash,8,3.6,3.8
30-07-2024 05:14,05:14:00,CNR3124565731,success,CID578023,Auto,Basavanagudi,Chickpet,189.0,55.0,,,no,,238,upi,6,3.5,3.0
20-07-2024 11:34,11:34:00,CNR6090870401,success,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,280.0,30.0,,,no,,477,cash,19,4.7,4.3
23-07-2024 15:38,15:38:00,CNR9405757355,success,CID176162,Auto,Richmond Town,Banashankari,196.0,145.0,,,no,,186,upi,15,3.4,4.6
01-07-2024 11:55,11:55:00,CNR7078608984,driver not found,CID926832,eBike,Shantinagar,Hebbal,,,,,,,117,,0,5.0,3.993771736
10-07-2024 18:52,18:52:00,CNR4166475803,success,CID615978,Prime SUV,Banashankari,Yelahanka,168.0,90.0,,,no,,193,upi,13,3.8,3.2
06-07-2024 12:51,12:51:00,CNR3641224150,success,CID431557,Mini,Majestic,Magadi Road,98.0,60.0,,,no,,395,upi,41,4.6,4.8
14-07-2024 16:42,16:42:00,CNR7307808711,success,CID928859,Prime SUV,MG Road,BTM Layout,147.0,75.0,,,no,,857,cash,45,4.2,4.0
